Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
1.68E+03,7.59E+01,8.15E+01,3.21E-15
9.68E+03,1.37E+01,5.02E+01,1.06E-13
1.45E+04,-5.11E+01,6.25E+01,2.39E-13
2.71E+04,-1.56E+02,1.52E+02,8.33E-13
4.43E+04,-1.46E+02,2.22E+02,2.22E-12
6.70E+04,-5.15E+01,7.64E+01,5.08E-12
9.40E+04,-7.89E+01,8.86E+01,1.00E-11
1.21E+05,2.61E+01,8.02E+01,1.65E-11
1.49E+05,2.55E+01,1.15E+02,2.50E-11
1.74E+05,5.72E+01,1.45E+02,3.42E-11
1.96E+05,3.41E+01,1.91E+02,4.35E-11
2.13E+05,5.91E+01,2.24E+02,5.14E-11
2.30E+05,6.78E+01,1.82E+02,5.99E-11
2.45E+05,-6.17E+00,1.69E+02,6.80E-11
2.67E+05,-7.02E+01,2.45E+02,8.06E-11
2.93E+05,-1.05E+02,2.06E+02,9.76E-11
3.17E+05,-2.05E+02,1.61E+02,1.14E-10
3.50E+05,-3.25E+02,7.96E+01,1.39E-10
3.93E+05,-6.26E+02,9.50E+02,1.75E-10
4.29E+05,-2.71E+03,1.33E+03,2.09E-10
