Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
1.57E+03,-1.19E+01,4.72E+01,7.55E-03
1.34E+04,9.96E+00,4.07E+01,5.50E-01
2.48E+04,-4.64E+01,1.77E+01,1.87E+00
4.21E+04,-2.23E+01,1.65E+01,5.40E+00
7.04E+04,-1.29E+02,1.24E+02,1.51E+01
9.64E+04,-8.35E+01,9.34E+01,2.84E+01
1.23E+05,-3.19E+01,7.31E+01,4.62E+01
1.47E+05,-3.16E+00,1.12E+02,6.60E+01
1.66E+05,7.60E+01,1.04E+02,8.46E+01
1.83E+05,1.32E+02,9.36E+01,1.03E+02
1.99E+05,1.40E+02,8.82E+01,1.21E+02
2.16E+05,1.71E+02,1.16E+02,1.42E+02
2.30E+05,2.00E+02,8.78E+01,1.61E+02
2.47E+05,1.64E+02,9.30E+01,1.86E+02
2.63E+05,1.95E+02,1.45E+02,2.11E+02
2.81E+05,2.67E+02,1.22E+02,2.40E+02
2.96E+05,3.85E+02,4.06E+01,2.68E+02
3.25E+05,3.29E+02,1.56E+02,3.22E+02
3.26E+05,-7.62E+01,9.12E+02,3.25E+02
4.07E+05,-2.88E+03,1.17E+03,5.07E+02
