Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
5.79E+03,-4.08E+01,3.94E+01,4.41E-02
2.15E+04,-8.69E+00,6.87E+01,6.10E-01
3.69E+04,5.68E+01,2.20E+01,1.79E+00
6.60E+04,5.30E+01,1.93E+01,5.74E+00
1.11E+05,4.34E+01,7.79E+01,1.64E+01
1.63E+05,9.98E+01,1.25E+02,3.49E+01
2.13E+05,4.51E+01,1.62E+02,5.97E+01
2.55E+05,7.30E+01,7.56E+01,8.58E+01
2.98E+05,4.93E+01,7.29E+01,1.17E+02
3.31E+05,9.51E+01,9.79E+01,1.44E+02
3.60E+05,1.52E+02,7.49E+01,1.71E+02
3.88E+05,1.92E+02,1.12E+02,1.98E+02
4.16E+05,2.43E+02,2.94E+01,2.28E+02
4.41E+05,2.78E+02,3.56E+00,2.56E+02
4.70E+05,3.03E+02,4.40E+01,2.91E+02
5.04E+05,3.52E+02,7.00E+01,3.35E+02
5.42E+05,3.02E+02,5.09E+01,3.87E+02
5.82E+05,5.83E+02,2.01E+02,4.47E+02
6.07E+05,7.28E+02,1.02E+02,4.85E+02
7.12E+05,1.27E+03,6.26E+02,6.67E+02
