Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
1.13E+03,-4.00E+01,1.17E+02,1.31E-14
4.72E+03,-1.94E+01,1.62E+01,2.28E-13
9.07E+03,-2.51E+01,3.43E+01,8.40E-13
1.73E+04,-1.14E+01,6.76E+01,3.05E-12
3.10E+04,7.20E+01,1.27E+02,9.80E-12
4.98E+04,5.95E+02,4.09E+02,2.53E-11
7.67E+04,3.50E+02,3.53E+02,5.99E-11
1.03E+05,1.53E+02,6.47E+01,1.07E-10
1.32E+05,9.30E+01,8.36E+01,1.79E-10
1.70E+05,2.36E+01,1.11E+02,2.94E-10
2.11E+05,-1.02E+02,1.66E+02,4.55E-10
2.49E+05,-5.00E+01,6.98E+01,6.31E-10
2.85E+05,-4.19E+01,5.97E+01,8.29E-10
3.18E+05,-7.16E+01,6.89E+01,1.03E-09
3.51E+05,-3.59E+00,6.65E+01,1.25E-09
3.85E+05,3.26E+01,8.14E+01,1.51E-09
4.09E+05,-1.86E+01,8.93E+01,1.71E-09
4.24E+05,3.10E+02,1.19E+03,1.83E-09
4.41E+05,-1.59E+03,1.49E+03,1.98E-09
3.49E+05,nan,nan,1.24E-09
