Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
2.60E+03,-4.88E+01,2.94E+01,2.44E-02
7.78E+03,-4.16E+01,1.41E+01,2.19E-01
1.67E+04,-4.82E+01,1.04E+01,1.01E+00
2.85E+04,-3.39E+01,1.50E+01,2.94E+00
4.18E+04,-2.51E+01,1.26E+01,6.32E+00
5.68E+04,-4.49E+01,3.79E+01,1.17E+01
7.38E+04,-2.78E+01,8.08E+01,1.97E+01
9.24E+04,-2.38E+01,1.39E+02,3.09E+01
1.12E+05,1.80E+01,1.15E+02,4.55E+01
1.34E+05,8.12E+01,9.34E+01,6.52E+01
1.55E+05,9.43E+01,4.86E+01,8.65E+01
1.73E+05,8.39E+01,5.68E+01,1.08E+02
1.91E+05,1.16E+02,5.16E+01,1.33E+02
2.13E+05,1.64E+02,9.00E+00,1.63E+02
2.33E+05,2.13E+02,3.59E+01,1.96E+02
2.55E+05,1.54E+02,6.41E+01,2.35E+02
2.67E+05,3.53E+02,7.57E+01,2.58E+02
2.65E+05,2.50E+02,4.24E+02,2.54E+02
2.62E+05,2.41E+02,4.50E+02,2.49E+02
3.15E+05,nan,nan,3.59E+02
